ID,Player,Team,Position,RkOv,Status,Opponent,FPts,FP/G,%D,ADP,Ros %
*02lol*,Harry Kane,TOT,F,1,FA,@BRF Sun 9:00AM,652,17.16,100%,12.65,100%
*061vq*,Erling Haaland,MCI,F,2,FA,@BUR Fri 3:00PM,622.5,17.79,100%,1.13,100%
*05gcr*,Bruno Fernandes,MUN,M,3,FA,WOL Mon 3:00PM,601.75,16.26,100%,3.03,100%
*03dx3*,Kieran Trippier,NEW,D,4,FA,AVL Sat 12:30PM,578.25,15.22,100%,11.78,100%
*04y92*,Bukayo Saka,ARS,F,5,FA,NOT Sat 7:30AM,560.5,14.75,100%,4.41,100%
*03aqp*,Mohamed Salah,LIV,F,6,FA,@CHE Sun 11:30AM,552.5,14.54,100%,3.17,100%
*02oox*,Kevin De Bruyne,MCI,M,7,FA,@BUR Fri 3:00PM,536.25,16.76,100%,5.01,100%
*05r9b*,Martin Odegaard,ARS,M,8,FA,NOT Sat 7:30AM,531.5,14.36,100%,8.87,100%
*04e1k*,Solly March,BHA,M,9,FA,LUT Sat 10:00AM,498.5,15.11,100%,30.34,100%
*052h5*,Gabriel Martinelli,ARS,F,10,FA,NOT Sat 7:30AM,491.25,13.65,100%,14.01,100%
*04fk1*,Pascal Gross,BHA,M,11,FA,LUT Sat 10:00AM,464,12.54,100%,37.52,100%
*03ybi*,Marcus Rashford,MUN,F,12,FA,WOL Mon 3:00PM,456.5,13.04,100%,8.75,100%
*0414o*,James Maddison,TOT,M,13,FA,@BRF Sun 9:00AM,451,15.03,100%,16.22,100%
*03srg*,Trent Alexander-Arnold,LIV,D,14,FA,@CHE Sun 11:30AM,442,11.95,100%,7.82,100%
*03v6w*,Ivan Toney,BRF,F,15,FA,TOT Sun 9:00AM,438.25,13.28,68%,120.41,100%
*04qr9*,Morgan Gibbs-White,NOT,M,16,FA,@ARS Sat 7:30AM,430.25,11.63,100%,40.98,100%
*05u94*,Michael Olise,CRY,M,17,FA,@SHU Sat 10:00AM,427.5,11.55,100%,53.57,100%
*05nt6*,Eberechi Eze,CRY,M,18,FA,@SHU Sat 10:00AM,424.75,11.18,100%,29.1,100%
*05ocl*,Ollie Watkins,AVL,F,19,FA,@NEW Sat 12:30PM,422,11.41,100%,20.95,100%
*03v9d*,Son Heung-Min,TOT,F,20,FA,@BRF Sun 9:00AM,418.75,11.63,100%,12.79,100%
*05trb*,Bryan Mbeumo,BRF,F,21,FA,TOT Sun 9:00AM,416.25,10.95,100%,37.01,100%
*038ze*,Alex Iwobi,EVE,M,22,FA,FUL Sat 10:00AM,405.5,10.67,96%,84.05,100%
*0522h*,Alexis Mac Allister,LIV,M,23,FA,@CHE Sun 11:30AM,395.75,11.31,100%,35.52,100%
*046c5*,Jarrod Bowen,WHU,M,24,FA,@BOU Sat 10:00AM,393.5,10.36,100%,32.05,100%
*04p0d*,Dwight McNeil,EVE,M,25,FA,FUL Sat 10:00AM,385.5,10.71,98%,54.41,100%
*0520r*,Leandro Trossard,ARS,F,26,FA,NOT Sat 7:30AM,378.75,10.52,99%,63.31,100%
*05tqx*,David Raya,BRF,G,27,FA,TOT Sun 9:00AM,375,9.87,84%,110.72,100%
*062ci*,Kaoru Mitoma,BHA,M,28,FA,LUT Sat 10:00AM,371,11.24,100%,21.4,100%
*04abb*,Phil Foden,MCI,M,29,FA,@BUR Fri 3:00PM,364.25,11.38,100%,16.61,100%
*04spp*,Douglas Luiz,AVL,M,30,FA,@NEW Sat 12:30PM,356.75,9.64,96%,91.45,100%
*045c8*,Gabriel Jesus,ARS,F,31,FA,NOT Sat 7:30AM,353.25,13.59,100%,11.95,100%
*0554i*,Joelinton,NEW,M,32,FA,AVL Sat 12:30PM,351.5,10.98,100%,58.9,100%
*04tig*,Fabian Schar,NEW,D,33,FA,AVL Sat 12:30PM,351.25,9.76,100%,61.65,100%
*04agz*,Declan Rice,ARS,M,34,FA,NOT Sat 7:30AM,346.75,9.37,100%,50.83,100%
*05tr9*,Mathias Jensen,BRF,M,35,FA,TOT Sun 9:00AM,345.75,9.34,78%,116.18,100%
*03dx7*,Ben Mee,BRF,D,36,FA,TOT Sun 9:00AM,342,9.24,100%,77,100%
*051k3*,Jacob Ramsey,AVL,M,37,FA,@NEW Sat 12:30PM,336,9.6,92%,99.19,100%
